book_title,author,ratings,avg_rating,book_image,book_url
Assata: An Autobiography,Assata Shakur,"28,160",4.59,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1328857268i/100322.jpg,https://www.goodreads.com/book/show/100322.Assata
The Language of Flowers,Vanessa Diffenbaugh,"225,906",4.09,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1333577674i/10032672.jpg,https://www.goodreads.com/book/show/10032672-the-language-of-flowers
Secret Rage,Charlaine Harris,"4,811",3.57,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1328829954i/10032945.jpg,https://www.goodreads.com/book/show/10032945-secret-rage
Norstrilia,Cordwainer Smith,"2,738",4.00,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1180138069i/1003311.jpg,https://www.goodreads.com/book/show/1003311.Norstrilia
The Age of Reason,Jean-Paul Sartre,"15,160",3.98,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1348948865i/10034.jpg,https://www.goodreads.com/book/show/10034.The_Age_of_Reason
Being and Nothingness,Jean-Paul Sartre,"32,550",3.99,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1329978583i/10033.jpg,https://www.goodreads.com/book/show/10033.Being_and_Nothingness
Otto of the Silver Hand,Howard Pyle,"2,991",3.81,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1344704515i/1003404.jpg,https://www.goodreads.com/book/show/1003404.Otto_of_the_Silver_Hand
Cry to Heaven,Anne Rice,"21,239",3.88,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1328301143i/10034080.jpg,https://www.goodreads.com/book/show/10034080-cry-to-heaven
The Draco Tavern,Larry Niven,"2,498",3.91,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1316729654i/100343.jpg,https://www.goodreads.com/book/show/100343.The_Draco_Tavern
Protector,Larry Niven,"10,811",4.06,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1403179200i/100344.jpg,https://www.goodreads.com/book/show/100344.Protector
Edwin of the Iron Shoes,Marcia Muller,"6,499",3.86,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1308967009i/1003464.jpg,https://www.goodreads.com/book/show/1003464.Edwin_of_the_Iron_Shoes
Crashlander,Larry Niven,"2,002",3.93,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1334571672i/100347.jpg,https://www.goodreads.com/book/show/100347.Crashlander
"The Case of the Man Who Died Laughing: Vish Puri, Most Private Investigator Series, Book 2",Tarquin Hall,"5,029",3.76,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1293427950i/10034799.jpg,https://www.goodreads.com/book/show/10034799-the-case-of-the-man-who-died-laughing
