list_name,list_link
Recommended by Reading Challengers,https://www.goodreads.com/list/show/44744.Recommended_by_Reading_Challengers
Best Urban Fantasy SERIES,https://www.goodreads.com/list/show/26494.Best_Urban_Fantasy_SERIES_
Books with the Hottest Sex!,https://www.goodreads.com/list/show/4579.Books_with_the_Hottest_Sex_
I Marked My Calendar For This Book's Release,https://www.goodreads.com/list/show/19793.I_Marked_My_Calendar_For_This_Book_s_Release
Indie Authors Everybody Should Read,https://www.goodreads.com/list/show/25972.Indie_Authors_Everybody_Should_Read
Books (Besides the Bible) Recommended for Christian Readers,https://www.goodreads.com/list/show/946.Books_Besides_the_Bible_Recommended_for_Christian_Readers
Killer Thrillers.,https://www.goodreads.com/list/show/164423.Killer_Thrillers_
Best Independent Novels,https://www.goodreads.com/list/show/1264.Best_Independent_Novels
Best Post-Apocalyptic Fiction,https://www.goodreads.com/list/show/1840.Best_Post_Apocalyptic_Fiction
Best Books of the Decade: 1990s,https://www.goodreads.com/list/show/17.Best_Books_of_the_Decade_1990s
Best First Book by New Author,https://www.goodreads.com/list/show/13822.Best_First_Book_by_New_Author
100 Thrillers to Read in a Lifetime,https://www.goodreads.com/list/show/164432.100_Thrillers_to_Read_in_a_Lifetime
Can't Wait Books of 2019,https://www.goodreads.com/list/show/117856.Can_t_Wait_Books_of_2019
Best History Books,https://www.goodreads.com/list/show/1362.Best_History_Books_
NEW ADULT 2013,https://www.goodreads.com/list/show/32262.NEW_ADULT_2013
The Best Adult Vampire Romance Books,https://www.goodreads.com/list/show/1193.The_Best_Adult_Vampire_Romance_Books
Books That Made You Cry,https://www.goodreads.com/list/show/2328.Books_That_Made_You_Cry
Upcoming Books of 2012 & 2013,https://www.goodreads.com/list/show/15448.Upcoming_Books_of_2012_2013
The Darker Side,https://www.goodreads.com/list/show/17253.The_Darker_Side
Children's Books I'll Re-Read No Matter How Old I Am,https://www.goodreads.com/list/show/3733.Children_s_Books_I_ll_Re_Read_No_Matter_How_Old_I_Am
Our Favorite Indie Reads,https://www.goodreads.com/list/show/10942.Our_Favorite_Indie_Reads
Top 10 for the Reading Challengers,https://www.goodreads.com/list/show/99208.Top_10_for_the_Reading_Challengers
أفضل  الروايات العربية,https://www.goodreads.com/list/show/8012._
Inspiring Books,https://www.goodreads.com/list/show/41846.Inspiring_Books
Best Feminist Books,https://www.goodreads.com/list/show/62.Best_Feminist_Books
Best Unappreciated Books,https://www.goodreads.com/list/show/471.Best_Unappreciated_Books
Thrillers Must-Reads.,https://www.goodreads.com/list/show/164293.Thrillers_Must_Reads_
"Books with Angels, Gods, or Demons",https://www.goodreads.com/list/show/2999.Books_with_Angels_Gods_or_Demons
Series I've Given Up On...,https://www.goodreads.com/list/show/7354.Series_I_ve_Given_Up_On_
Female Psychological Thrillers/Suspense Written by Women,https://www.goodreads.com/list/show/38997.Female_Psychological_Thrillers_Suspense_Written_by_Women
Tattooed Love Boys,https://www.goodreads.com/list/show/27043.Tattooed_Love_Boys
Most Anticipated Romance Novels of 2019,https://www.goodreads.com/list/show/122629.Most_Anticipated_Romance_Novels_of_2019
Teen Historical Fiction,https://www.goodreads.com/list/show/476.Teen_Historical_Fiction
Motivational and Self-Improvement Books,https://www.goodreads.com/list/show/7616.Motivational_and_Self_Improvement_Books
Best Romance Books Ever,https://www.goodreads.com/list/show/8329.Best_Romance_Books_Ever
The Best of Gay Romance,https://www.goodreads.com/list/show/959.The_Best_of_Gay_Romance
Fictional males that make you squirm...in a good way ;),https://www.goodreads.com/list/show/13377.Fictional_males_that_make_you_squirm_in_a_good_way_
Quality Dark Fiction,https://www.goodreads.com/list/show/2839.Quality_Dark_Fiction
YA Debuts 2015,https://www.goodreads.com/list/show/36218._YA_Debuts_2015
Vampires and Werewolves and Witches...Oh My!,https://www.goodreads.com/list/show/272.Vampires_and_Werewolves_and_Witches_Oh_My_
Can't Wait Sci-Fi/Fantasy of 2015,https://www.goodreads.com/list/show/74206.Can_t_Wait_Sci_Fi_Fantasy_of_2015
Hottest Dirty Talk!,https://www.goodreads.com/list/show/42779.Hottest_Dirty_Talk_
Best Japanese Books,https://www.goodreads.com/list/show/32.Best_Japanese_Books
Can't Wait Sci-Fi/Fantasy of 2013,https://www.goodreads.com/list/show/20917.Can_t_Wait_Sci_Fi_Fantasy_of_2013
Books I Regret Reading,https://www.goodreads.com/list/show/1774.Books_I_Regret_Reading
أفضل 50 كتاب عربي,https://www.goodreads.com/list/show/32339._50_
Biography and Memoirs that are BETTER than Fiction,https://www.goodreads.com/list/show/25573.Biography_and_Memoirs_that_are_BETTER_than_Fiction
YA Novels by Goodreads Authors,https://www.goodreads.com/list/show/2597.YA_Novels_by_Goodreads_Authors
Slow-Burn Romance,https://www.goodreads.com/list/show/97747.Slow_Burn_Romance
Best Books Involving Forbidden Love,https://www.goodreads.com/list/show/8324.Best_Books_Involving_Forbidden_Love
Top Ten Romances Of 2014,https://www.goodreads.com/list/show/75390.Top_Ten_Romances_Of_2014
Romance Books Everyone Should Read,https://www.goodreads.com/list/show/84796.Romance_Books_Everyone_Should_Read
Little Known Authors Worth Reading,https://www.goodreads.com/list/show/18072.Little_Known_Authors_Worth_Reading
Best Book Covers for 2010,https://www.goodreads.com/list/show/5296.Best_Book_Covers_for_2010
Best Books of 2017,https://www.goodreads.com/list/show/107026.Best_Books_of_2017
Best Teen/Young Adult Books,https://www.goodreads.com/list/show/685.Best_Teen_Young_Adult_Books
Books you wish more people knew about - Part II,https://www.goodreads.com/list/show/19253.Books_you_wish_more_people_knew_about_Part_II
YA Novels of 2019,https://www.goodreads.com/list/show/128821.YA_Novels_of_2019
Series Reading List,https://www.goodreads.com/list/show/2630.Series_Reading_List
Best Male Character,https://www.goodreads.com/list/show/2992.Best_Male_Character
Most ANTICIPATED ROMANCE books for 2014,https://www.goodreads.com/list/show/70505.Most_ANTICIPATED_ROMANCE_books_for_2014
Best Philosophical Literature,https://www.goodreads.com/list/show/453.Best_Philosophical_Literature
Books That Changed My World,https://www.goodreads.com/list/show/5918.Books_That_Changed_My_World
Best Zombie Books,https://www.goodreads.com/list/show/8997.Best_Zombie_Books
2013 New Adult Releases,https://www.goodreads.com/list/show/28834.2013_New_Adult_Releases
Best Book Covers 2011,https://www.goodreads.com/list/show/7253.Best_Book_Covers_2011
Must Read YA Fiction!,https://www.goodreads.com/list/show/881.Must_Read_YA_Fiction_
Best Books From Reading Challenges Past and Present,https://www.goodreads.com/list/show/194315.Best_Books_From_Reading_Challenges_Past_and_Present
The Most Deserving Newbery,https://www.goodreads.com/list/show/521.The_Most_Deserving_Newbery
Goodreads Reading Challenge Favs From Over the Years to the Current Challenge,https://www.goodreads.com/list/show/194434.Goodreads_Reading_Challenge_Favs_From_Over_the_Years_to_the_Current_Challenge
YA Novels of 2020,https://www.goodreads.com/list/show/111980.YA_Novels_of_2020
Best Action-Adventure Novels,https://www.goodreads.com/list/show/514.Best_Action_Adventure_Novels
Memoirs by Women,https://www.goodreads.com/list/show/184.Memoirs_by_Women
YA Novels of 2010,https://www.goodreads.com/list/show/2699.YA_Novels_of_2010
Best Accidentally Pregnant in Romance Novels,https://www.goodreads.com/list/show/22303.Best_Accidentally_Pregnant_in_Romance_Novels
I Had No Idea This Book Would Be So Good,https://www.goodreads.com/list/show/5876.I_Had_No_Idea_This_Book_Would_Be_So_Good
Best Books of 2018,https://www.goodreads.com/list/show/119307.Best_Books_of_2018
Books That Should Be Released Sooner!!!,https://www.goodreads.com/list/show/24047.Books_That_Should_Be_Released_Sooner_
Best Book Cover 2009,https://www.goodreads.com/list/show/1712.Best_Book_Cover_2009
